"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"36","Boykin Spaniel","sporting","138.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,"531.25","budget","200.0","800.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"40.64","16",NA,NA,NA,NA
"37","Briard","herding","125.0","30.0","Above average","15-25",">70","11.17","71.0","hip problems","1.0","hip dysplasia","4.0","15902.87631","650","budget","500.0","800.0","5.75","4.0","7.5","7.14819875","4166.132317","10886.74399","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","large",NA,NA,"62.23","24.5","Only 2 puppies for sale",NA,NA,NA
"38","Brittany","sporting","30.0","19.0","Excellent","5-15",">85","12.92","28.0","none","0.0","none","4.0","18228.70518","617.5","budget","300.0","1200.0","5.75","4.0","7.5","7.14819875","4818.838812","12592.36637","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium","15.87573295","35","48.26","19",NA,NA,NA,NA
"39","Brussels Griffon","toy","77.0","59.0","Fair","40-80",">30","12.0","71.0","none","0.0","none","5.0","15841.72793","832.5","mid-price","500.0","1500.0","4","4.0","4.0","4.97266","3113.531606","11695.69632","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","small","4.08233133","9",NA,NA,NA,NA,NA,NA
"40","Bull Terrier","terrier","51.0","66.0","Fair","40-80",">30","10.21","225.0","heart problems, zinc metabolism disorder","2.0","lethal acrodermatitis, Mitral valve dysplasia","1.0","15044.16447","1085","mid-price","300.0","1750.0","5.75","4.0","7.5","7.14819875","3808.076182","9951.088286","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium","27.2155422","60","54.61","21.5",NA,NA,NA,NA
"41","Bulldog","non-sporting","6.0","78.0","Lowest","80-100","<25","6.29","197.0","breathing, hip, heart problems, 'dry eye'","5.0","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)","1.0","11356.50779","2680","high-end","1500.0","5500.0","5.75","4.0","7.5","7.14819875","2346.013632","6130.494154","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium","20.41165665","45",NA,NA,"English bulldog",NA,NA,NA
"42","Bullmastiff","working","40.0","69.0","Fair","40-80",">30","7.57","103.0","eye, hip problems","2.0","Entropion, Hip dysplasia","4.0","11381.45691","980","mid-price","600.0","1600.0","5.75","4.0","7.5","7.14819875","2823.421812","7378.035095","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","52.16312255","115","64.77","25.5",NA,NA,NA,NA
"43","Cairn Terrier","terrier","59.0","35.0","Above average","15-25",">70","13.84","156.0","'lion jaw', heart problems","2.0","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia","4.0","17714.97621","435","budget","300.0","600.0","4","4.0","4.0","4.97266","3590.939785","13489.03642","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","6.35029318","14.0","25.4","10.0",NA,NA,NA,NA
"44","Canaan Dog","herding","168.0",NA,NA,NA,NA,"14.67","2.0","none","0.0","none","3.0",NA,"2012.0","high-end",NA,NA,"5.75","4.0","7.5","7.14819875","5471.545308","14297.98875","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","20.41165665","45","54.61","21.5",NA,NA,NA,NA
"45","Cane Corso","working","67.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"1.0",NA,"1070","mid-price","900.0","1500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"63.5","25",NA,NA,NA,NA
"46","Cardigan Welsh Corgi","herding","81.0","26.0","Excellent","5-15",">85","12.7","53.0","none","0.0","none","4.0",NA,"828","mid-price","395.0","1085.0",NA,NA,NA,NA,NA,"12377.94527","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","14.28815966","31.5","29.21","11.5",NA,NA,NA,NA
"47","Cavalier King Charles Spaniel","toy","21.0","44.0","Average","25-40",">50","11.29","829.0","heart, spinal problems","2.0","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)","5.0","15149.57083","1016.555556","mid-price","100.0","1800.0","4","4.0","4.0","4.97266","2929.314319","11003.70095","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","7.030681735","15.5","31.75","12.5",NA,NA,NA,NA
"48","Cesky Terrier","terrier","106.0",NA,NA,NA,NA,"8.42","9.0",NA,NA,NA,"2.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","3140.450681","8206.480251","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","8.61825503","19","29.21","11.5",NA,NA,NA,NA
"49","Chesapeake Bay Retriever","sporting","46.0","27.0","Above average","15-25",">70","9.48","776.0","hip problems","1.0","hip dysplasia","3.0","13497.40442","522","budget","175.0","795.0","5.75","4.0","7.5","7.14819875","3535.80433","9239.600093","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","30.61748498","67.5","59.69","23.5",NA,NA,NA,NA
"50","Chihuahua","toy","14.0","67.0","Fair","40-80",">30",NA,"-","knee problems","1.0","Patellar luxation","6.0",NA,"587.5","budget","200.0","1500.0","4","4.0","4.0","4.97266",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","small","2.494758035","5.5",NA,NA,"weight should not exceed 6 pounds",NA,NA,NA
"51","Chinese Crested","toy","61.0","61.0","Fair","40-80",">30","10.08","829.0",NA,NA,NA,"2.0",NA,"537.5","budget","125.0","1300.0",NA,NA,NA,NA,NA,"9824.384909","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"30.48","12",NA,NA,NA,NA
"52","Chinese Shar Pei","non-sporting","50.0","51.0","Average","25-40",">50",NA,"-","canine hay fever, skin, eye, hip problems","4.0","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia","4.0",NA,"840","mid-price","350.0","2000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","23.81359943","52.5","48.26","19",NA,NA,NA,NA
"53","Chow Chow","non-sporting","68.0","77.0","Lowest","80-100","<25","9.01","38.0","eye, hip problems","2.0","Entropion, Hip dysplasia","5.0","12857.02467","515","budget","200.0","750.0","5.75","4.0","7.5","7.14819875","3360.506014","8781.518654","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
